stem	name	acc	category	gene_name	source	hmm_file	nseq	cutoff	added_date	status
K07116	K07116		iron_aquisition-siderophore_synthesis	K07116	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K07116.hmm	942	449.97	2026-04-21	active
K07224	K07224		iron_aquisition-siderophore_synthesis	K07224	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K07224.hmm	1182	210.23	2026-04-21	active
K07230	K07230		iron_aquisition-siderophore_synthesis	K07230	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K07230.hmm	461	65.5	2026-04-21	active
K10531	K10531		iron_aquisition-siderophore_synthesis	K10531	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K10531.hmm	695	374.5	2026-04-21	active
K11604	K11604		iron_aquisition-siderophore_synthesis	K11604	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K11604.hmm	519	469.23	2026-04-21	active
K12237	K12237		iron_aquisition-siderophore_synthesis	K12237	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K12237.hmm	13	1974.2	2026-04-21	active
K12238	K12238		iron_aquisition-siderophore_synthesis	K12238	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K12238.hmm	50	917.1	2026-04-21	active
K12239	K12239		iron_aquisition-siderophore_synthesis	K12239	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K12239.hmm	62	1578.87	2026-04-21	active
K12240	K12240		iron_aquisition-siderophore_synthesis	K12240	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K12240.hmm	191	1662.5	2026-04-21	active
K12241	K12241		iron_aquisition-siderophore_synthesis	K12241	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K12241.hmm	105	335.77	2026-04-21	active
K12346	K12346		iron_aquisition-siderophore_synthesis	K12346	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K12346.hmm	224	503.43	2026-04-21	active
K13745	K13745		iron_aquisition-siderophore_synthesis	K13745	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K13745.hmm	1122	407.53	2026-04-21	active
K14759	K14759		iron_aquisition-siderophore_synthesis	K14759	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K14759.hmm	129	1251.0	2026-04-21	active
K15584	K15584		iron_aquisition-siderophore_synthesis	K15584	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K15584.hmm	448	475.1	2026-04-21	active
K15652	K15652		iron_aquisition-siderophore_synthesis	K15652	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K15652.hmm	83	239.9	2026-04-21	active
